date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:01	125311/125311	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:01%20GMT	https://tailwindcss.com/docs/customizing-colors/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/customizing-colors/index.html	(from https://tailwindcss.com/)
08:37:02	10997/10997	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:02%20GMT	https://tailwindcss.com/docs/customizing-spacing	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/customizing-spacing	(from https://tailwindcss.com/)
08:37:02	86559/86559	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:02%20GMT	https://tailwindcss.com/docs/customizing-spacing/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/customizing-spacing/index.html	(from https://tailwindcss.com/)
08:37:02	13020/13020	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:02%20GMT	https://tailwindcss.com/docs/configuring-variants	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/configuring-variants	(from https://tailwindcss.com/)
08:37:03	16749/16749	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:03%20GMT	https://tailwindcss.com/docs/plugins	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/plugins	(from https://tailwindcss.com/)
08:37:03	94164/94164	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:03%20GMT	https://tailwindcss.com/docs/configuring-variants/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/configuring-variants/index.html	(from https://tailwindcss.com/)
08:37:04	12086/12086	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:04%20GMT	https://tailwindcss.com/docs/preflight	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/preflight	(from https://tailwindcss.com/)
08:37:04	109071/109071	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:04%20GMT	https://tailwindcss.com/docs/plugins/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/plugins/index.html	(from https://tailwindcss.com/)
08:37:05	86684/86684	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:05%20GMT	https://tailwindcss.com/docs/preflight/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/preflight/index.html	(from https://tailwindcss.com/)
08:37:05	11092/11092	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:05%20GMT	https://tailwindcss.com/docs/container	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/container	(from https://tailwindcss.com/)
08:37:06	85196/85196	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:06%20GMT	https://tailwindcss.com/docs/container/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/container/index.html	(from https://tailwindcss.com/)
08:37:06	11386/11386	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:06%20GMT	https://tailwindcss.com/docs/box-sizing	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/box-sizing	(from https://tailwindcss.com/)
08:37:06	12021/12021	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:06%20GMT	https://tailwindcss.com/docs/display	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/display	(from https://tailwindcss.com/)
